項目,金額,年度
役員賞与引当金の増減額（△は減少）,-6,2018
退職給付に係る資産の増減額（△は増加）,-435,2018
退職給付に係る負債の増減額（△は減少）,-911,2018
役員退職慰労引当金の増減額（△は減少）,-58,2018
睡眠預金払戻損失引当金の増減（△）,63,2018
ポイント引当金の増減額（△は減少）,-8,2018
偶発損失引当金の増減（△）,-68,2018
資金運用収益,-84838,2018
資金調達費用,7594,2018
有価証券関係損益（△）,-10868,2018
金銭の信託の運用損益（△は運用益）,-96,2018
為替差損益（△は益）,-628,2018
固定資産処分損益（△は益）,350,2018
商品有価証券の純増（△）減,643,2018
貸出金の純増（△）減,-292155,2018
預金の純増減（△）,172709,2018
譲渡性預金の純増減（△）,14388,2018
借用金（劣後特約付借入金を除く）の純増減（△）,16300,2018
預け金（日銀預け金を除く）の純増（△）減,2531,2018
コールローン等の純増（△）減,2781,2018
コールマネー等の純増減（△）,-12191,2018
債券貸借取引受入担保金の純増減（△）,-187059,2018
外国為替（資産）の純増（△）減,2271,2018
外国為替（負債）の純増減（△）,-221,2018
リース債権及びリース投資資産の純増（△）減,-3264,2018
信託勘定借の純増減（△）,13,2018
資金運用による収入,84893,2018
資金調達による支出,-7771,2018
その他,-5126,2018
小計,-253195,2018
法人税等の支払額,-13097,2018
営業活動によるキャッシュ・フロー,-266292,2018
有価証券の取得による支出,-388691,2018
有価証券の売却による収入,362685,2018
有価証券の償還による収入,336619,2018
金銭の信託の増加による支出,-2200,2018
有形固定資産の取得による支出,-3272,2018
無形固定資産の取得による支出,-4097,2018
有形固定資産の売却による収入,93,2018
投資活動によるキャッシュ・フロー,301136,2018
劣後特約付社債の発行による収入,10000,2018
自己株式の取得による支出,-3891,2018
自己株式の売却による収入,1061,2018
配当金の支払額,-5235,2018
非支配株主への配当金の支払額,-10,2018
財務活動によるキャッシュ・フロー,1924,2018
現金及び現金同等物に係る換算差額,-143,2018
現金及び現金同等物の増減額（△は減少）,36624,2018
現金及び現金同等物の期首残高,533429,2018
現金及び現金同等物の期末残高,570054,2018
企業名,The Gunma Bank,2018
現金預け金,539879,2017
コールローン及び買入手形,2243,2017
買入金銭債権,10891,2017
商品有価証券,1028,2017
金銭の信託,4429,2017
有価証券,2089768,2017
貸出金,5181288,2017
外国為替,6852,2017
リース債権及びリース投資資産,47126,2017
その他資産,48188,2017
有形固定資産,68655,2017
建物,17855,2017
土地,42766,2017
リース資産,931,2017
建設仮勘定,554,2017
その他の有形固定資産,6546,2017
無形固定資産,10094,2017
ソフトウエア,9485,2017
その他の無形固定資産,609,2017
退職給付に係る資産,335,2017
繰延税金資産,1459,2017
支払承諾見返,13376,2017
貸倒引当金,-39019,2017
資産の部合計,7986598,2017
預金,6489290,2017
譲渡性預金,163617,2017
コールマネー及び売渡手形,12259,2017
債券貸借取引受入担保金,329844,2017
借用金,326833,2017
外国為替,405,2017
社債,10000,2017
新株予約権付社債,22438,2017
その他負債,49467,2017
役員賞与引当金,57,2017
退職給付に係る負債,3207,2017
役員退職慰労引当金,518,2017
睡眠預金払戻損失引当金,1056,2017
ポイント引当金,132,2017
偶発損失引当金,991,2017
特別法上の引当金,0,2017
繰延税金負債,28840,2017
再評価に係る繰延税金負債,8081,2017
支払承諾,13376,2017
負債の部合計,7460416,2017
資本金,48652,2017
資本剰余金,29140,2017
利益剰余金,346848,2017
自己株式,-21276,2017
株主資本合計,403365,2017
その他有価証券評価差額金,107251,2017
繰延ヘッジ損益,-140,2017
土地再評価差額金,14287,2017
為替換算調整勘定,303,2017
退職給付に係る調整累計額,-4995,2017
その他の包括利益累計額合計,116704,2017
新株予約権,413,2017
非支配株主持分,5697,2017
純資産の部合計,526181,2017
負債及び純資産の部合計,7986598,2017
企業名,The Gunma Bank,2017
経常収益,144130,2017
資金運用収益,84716,2017
貸出金利息,56904,2017
有価証券利息配当金,26913,2017
コールローン利息及び買入手形利息,0,2017
預け金利息,106,2017
その他の受入利息,790,2017
役務取引等収益,18690,2017
その他業務収益,25562,2017
その他経常収益,15161,2017
償却債権取立益,9,2017
その他の経常収益,15152,2017
経常費用,107609,2017
資金調達費用,5786,2017
預金利息,1635,2017
譲渡性預金利息,146,2017
コールマネー利息及び売渡手形利息,357,2017
債券貸借取引支払利息,2292,2017
借用金利息,247,2017
社債利息,16,2017
その他の支払利息,1090,2017
役務取引等費用,7467,2017
その他業務費用,25880,2017
営業経費,61672,2017
その他経常費用,6802,2017
貸倒引当金繰入額,5395,2017
その他の経常費用,1407,2017
経常利益,36521,2017
特別損失,273,2017
固定資産処分損,211,2017
減損損失,62,2017
金融商品取引責任準備金繰入額,0,2017
税金等調整前当期純利益,36247,2017
法人税、住民税及び事業税,14344,2017
法人税等調整額,-4477,2017
法人税等合計,9867,2017
当期純利益,26380,2017
非支配株主に帰属する当期純利益,75,2017
親会社株主に帰属する当期純利益,26304,2017
当期純利益,26380,2017
その他の包括利益,1607,2017
その他有価証券評価差額金,-5495,2017
繰延ヘッジ損益,-6,2017
為替換算調整勘定,-160,2017
退職給付に係る調整額,7200,2017
持分法適用会社に対する持分相当額,69,2017
包括利益,27988,2017
親会社株主に係る包括利益,27844,2017
非支配株主に係る包括利益,143,2017
企業名,The Gunma Bank,2017
税金等調整前当期純利益,36247,2017
減価償却費,5876,2017
減損損失,62,2017
持分法による投資損益（△は益）,-35,2017
貸倒引当金の増減（△）,68,2017
役員賞与引当金の増減額（△は減少）,-5,2017
退職給付に係る資産の増減額（△は増加）,-335,2017
退職給付に係る負債の増減額（△は減少）,-14682,2017
役員退職慰労引当金の増減額（△は減少）,-53,2017
睡眠預金払戻損失引当金の増減（△）,-13,2017
ポイント引当金の増減額（△は減少）,-18,2017
偶発損失引当金の増減（△）,-17,2017
資金運用収益,-84716,2017
資金調達費用,5786,2017
有価証券関係損益（△）,-8936,2017
金銭の信託の運用損益（△は運用益）,24,2017
為替差損益（△は益）,-334,2017
固定資産処分損益（△は益）,211,2017
商品有価証券の純増（△）減,11,2017
貸出金の純増（△）減,-170870,2017
預金の純増減（△）,204454,2017
譲渡性預金の純増減（△）,27407,2017
借用金（劣後特約付借入金を除く）の純増減（△）,69068,2017
預け金（日銀預け金を除く）の純増（△）減,5041,2017
コールローン等の純増（△）減,-1570,2017
コールマネー等の純増減（△）,-17037,2017
債券貸借取引受入担保金の純増減（△）,59269,2017
外国為替（資産）の純増（△）減,-3655,2017
外国為替（負債）の純増減（△）,112,2017
リース債権及びリース投資資産の純増（△）減,-3227,2017
資金運用による収入,84480,2017
資金調達による支出,-5895,2017
その他,4904,2017
小計,191623,2017
法人税等の支払額,-14479,2017
営業活動によるキャッシュ・フロー,177143,2017
有価証券の取得による支出,-564597,2017
有価証券の売却による収入,280008,2017
有価証券の償還による収入,324477,2017
金銭の信託の減少による収入,500,2017
有形固定資産の取得による支出,-4359,2017
無形固定資産の取得による支出,-4161,2017
有形固定資産の売却による収入,0,2017
投資活動によるキャッシュ・フロー,31866,2017
劣後特約付社債の発行による収入,10000,2017
配当金の支払額,-5552,2017
非支配株主への配当金の支払額,-10,2017
自己株式の取得による支出,-4701,2017
自己株式の売却による収入,693,2017
財務活動によるキャッシュ・フロー,429,2017
現金及び現金同等物に係る換算差額,-161,2017
現金及び現金同等物の増減額（△は減少）,209277,2017
現金及び現金同等物の期首残高,324151,2017
現金及び現金同等物の期末残高,533429,2017
企業名,The Gunma Bank,2017
現金預け金,335643,2016
買入金銭債権,11564,2016
商品有価証券,1039,2016
金銭の信託,4967,2016
有価証券,2133238,2016
貸出金,5010417,2016
外国為替,3196,2016
リース債権及びリース投資資産,43898,2016
その他資産,32852,2016
有形固定資産,67732,2016
建物,17445,2016
土地,42673,2016
リース資産,998,2016
建設仮勘定,482,2016
その他の有形固定資産,6131,2016
無形固定資産,8623,2016
ソフトウエア,8013,2016
その他の無形固定資産,610,2016
繰延税金資産,1416,2016
支払承諾見返,15870,2016
貸倒引当金,-38951,2016
資産の部合計,7631510,2016
預金,6284836,2016
譲渡性預金,136209,2016
コールマネー及び売渡手形,29296,2016
債券貸借取引受入担保金,270574,2016
借用金,257764,2016
外国為替,292,2016
新株予約権付社債,22536,2016
その他負債,45002,2016
役員賞与引当金,62,2016
退職給付に係る負債,17890,2016
役員退職慰労引当金,571,2016
睡眠預金払戻損失引当金,1070,2016
ポイント引当金,151,2016
偶発損失引当金,1008,2016
繰延税金負債,32564,2016
再評価に係る繰延税金負債,8081,2016
支払承諾,15870,2016
負債の部合計,7123782,2016
資本金,48652,2016
資本剰余金,29140,2016
利益剰余金,326122,2016
自己株式,-17296,2016
株主資本合計,386619,2016
その他有価証券評価差額金,112745,2016
繰延ヘッジ損益,-134,2016
土地再評価差額金,14287,2016
為替換算調整勘定,463,2016
退職給付に係る調整累計額,-12196,2016
その他の包括利益累計額合計,115165,2016
新株予約権,377,2016
非支配株主持分,5564,2016
純資産の部合計,507727,2016
負債及び純資産の部合計,7631510,2016
企業名,The Gunma Bank,2016
経常収益,136220,2016
資金運用収益,85825,2016
貸出金利息,58786,2016
有価証券利息配当金,26007,2016
コールローン利息及び買入手形利息,117,2016
債券貸借取引受入利息,0,2016
預け金利息,137,2016
その他の受入利息,776,2016
役務取引等収益,18996,2016
その他業務収益,23753,2016
その他経常収益,7644,2016
貸倒引当金戻入益,1443,2016
償却債権取立益,2,2016
その他の経常収益,6198,2016
経常費用,92594,2016
資金調達費用,4513,2016
預金利息,2255,2016
譲渡性預金利息,180,2016
コールマネー利息及び売渡手形利息,387,2016
債券貸借取引支払利息,940,2016
借用金利息,282,2016
その他の支払利息,467,2016
役務取引等費用,7202,2016
その他業務費用,19974,2016
営業経費,57472,2016
その他経常費用,3432,2016
その他の経常費用,3432,2016
経常利益,43625,2016
特別利益,3,2016
固定資産処分益,3,2016
特別損失,351,2016
固定資産処分損,259,2016
減損損失,91,2016
税金等調整前当期純利益,43278,2016
法人税、住民税及び事業税,12096,2016
法人税等調整額,2039,2016
法人税等合計,14135,2016
当期純利益,29142,2016
非支配株主に帰属する当期純利益,526,2016
親会社株主に帰属する当期純利益,28616,2016
当期純利益,29142,2016
その他の包括利益,-34513,2016
その他有価証券評価差額金,-24096,2016
繰延ヘッジ損益,-125,2016
土地再評価差額金,423,2016
為替換算調整勘定,2,2016
退職給付に係る調整額,-10766,2016
持分法適用会社に対する持分相当額,49,2016
包括利益,-5370,2016
親会社株主に係る包括利益,-5887,2016
非支配株主に係る包括利益,516,2016
企業名,The Gunma Bank,2016
税金等調整前当期純利益,43278,2016
減価償却費,5943,2016
減損損失,91,2016
持分法による投資損益（△は益）,-100,2016
貸倒引当金の増減（△）,-5639,2016
役員賞与引当金の増減額（△は減少）,-5,2016
退職給付に係る資産の増減額（△は増加）,3,2016
退職給付に係る負債の増減額（△は減少）,16592,2016
役員退職慰労引当金の増減額（△は減少）,-68,2016
睡眠預金払戻損失引当金の増減（△）,12,2016
ポイント引当金の増減額（△は減少）,-0,2016
偶発損失引当金の増減（△）,-124,2016
資金運用収益,-85825,2016
資金調達費用,4513,2016
有価証券関係損益（△）,-2744,2016
金銭の信託の運用損益（△は運用益）,15,2016
為替差損益（△は益）,-305,2016
固定資産処分損益（△は益）,255,2016
商品有価証券の純増（△）減,35,2016
貸出金の純増（△）減,-203509,2016
預金の純増減（△）,172433,2016
譲渡性預金の純増減（△）,-6746,2016
借用金（劣後特約付借入金を除く）の純増減（△）,70116,2016
預け金（日銀預け金を除く）の純増（△）減,-8381,2016
コールローン等の純増（△）減,115707,2016
コールマネー等の純増減（△）,-140968,2016
債券貸借取引受入担保金の純増減（△）,7667,2016
外国為替（資産）の純増（△）減,1342,2016
外国為替（負債）の純増減（△）,51,2016
リース債権及びリース投資資産の純増（△）減,-2400,2016
資金運用による収入,85368,2016
資金調達による支出,-4393,2016
その他,-1135,2016
小計,61081,2016
法人税等の支払額,-11261,2016
営業活動によるキャッシュ・フロー,49820,2016
有価証券の取得による支出,-251243,2016
有価証券の売却による収入,126928,2016
有価証券の償還による収入,253258,2016
有形固定資産の取得による支出,-3582,2016
無形固定資産の取得による支出,-2462,2016
有形固定資産の売却による収入,124,2016
投資活動によるキャッシュ・フロー,123024,2016
配当金の支払額,-5403,2016
非支配株主への配当金の支払額,-10,2016
自己株式の取得による支出,-5532,2016
自己株式の売却による収入,452,2016
財務活動によるキャッシュ・フロー,-10493,2016
現金及び現金同等物に係る換算差額,-6,2016
現金及び現金同等物の増減額（△は減少）,162343,2016
現金及び現金同等物の期首残高,161807,2016
現金及び現金同等物の期末残高,324151,2016
企業名,The Gunma Bank,2016
現金預け金,164918,2015
コールローン及び買入手形,114604,2015
買入金銭債権,13491,2015
商品有価証券,1074,2015
金銭の信託,5000,2015
有価証券,2320706,2015
貸出金,4806908,2015
外国為替,4539,2015
リース債権及びリース投資資産,41498,2015
その他資産,29006,2015
有形固定資産,67545,2015
建物,15959,2015
土地,42803,2015
リース資産,1065,2015
建設仮勘定,1280,2015
その他の有形固定資産,6436,2015
無形固定資産,9007,2015
ソフトウエア,8392,2015
その他の無形固定資産,614,2015
退職給付に係る資産,3,2015
繰延税金資産,1672,2015
支払承諾見返,15561,2015
貸倒引当金,-44591,2015
資産の部合計,7550949,2015
預金,6112402,2015
譲渡性預金,142955,2015
コールマネー及び売渡手形,170265,2015
債券貸借取引受入担保金,262906,2015
借用金,187647,2015
外国為替,241,2015
新株予約権付社債,24034,2015
その他負債,47893,2015
役員賞与引当金,67,2015
退職給付に係る負債,1297,2015
役員退職慰労引当金,640,2015
睡眠預金払戻損失引当金,1057,2015
ポイント引当金,152,2015
偶発損失引当金,1133,2015
繰延税金負債,50606,2015
再評価に係る繰延税金負債,8551,2015
支払承諾,15561,2015
負債の部合計,7027413,2015
資本金,48652,2015
資本剰余金,29140,2015
利益剰余金,302852,2015
自己株式,-12251,2015
株主資本合計,368394,2015
その他有価証券評価差額金,136783,2015
繰延ヘッジ損益,-9,2015
土地再評価差額金,13960,2015
為替換算調整勘定,461,2015
退職給付に係る調整累計額,-1429,2015
その他の包括利益累計額合計,149766,2015
新株予約権,316,2015
少数株主持分,5058,2015
純資産の部合計,523535,2015
負債及び純資産の部合計,7550949,2015
企業名,The Gunma Bank,2015
経常収益,130267,2015
資金運用収益,85387,2015
貸出金利息,59774,2015
有価証券利息配当金,24324,2015
コールローン利息及び買入手形利息,494,2015
債券貸借取引受入利息,0,2015
預け金利息,48,2015
その他の受入利息,745,2015
役務取引等収益,18910,2015
その他業務収益,21819,2015
その他経常収益,4149,2015
償却債権取立益,17,2015
その他の経常収益,4132,2015
経常費用,91194,2015
資金調達費用,3714,2015
預金利息,2157,2015
譲渡性預金利息,104,2015
コールマネー利息及び売渡手形利息,184,2015
債券貸借取引支払利息,427,2015
借用金利息,235,2015
その他の支払利息,605,2015
役務取引等費用,6632,2015
その他業務費用,18263,2015
営業経費,59079,2015
その他経常費用,3504,2015
貸倒引当金繰入額,1455,2015
その他の経常費用,2048,2015
経常利益,39072,2015
特別利益,2385,2015
負ののれん発生益,2385,2015
特別損失,457,2015
固定資産処分損,425,2015
減損損失,32,2015
税金等調整前当期純利益,40999,2015
法人税、住民税及び事業税,11581,2015
法人税等調整額,2088,2015
法人税等合計,13670,2015
少数株主損益調整前当期純利益,27329,2015
少数株主利益,1418,2015
当期純利益,25910,2015
少数株主損益調整前当期純利益,27329,2015
その他の包括利益,52056,2015
その他有価証券評価差額金,47763,2015
繰延ヘッジ損益,60,2015
土地再評価差額金,879,2015
為替換算調整勘定,587,2015
退職給付に係る調整額,2631,2015
持分法適用会社に対する持分相当額,133,2015
包括利益,79386,2015
親会社株主に係る包括利益,77937,2015
少数株主に係る包括利益,1448,2015
企業名,The Gunma Bank,2015
税金等調整前当期純利益,40999,2015
減価償却費,5467,2015
減損損失,32,2015
負ののれん発生益,-2385,2015
持分法による投資損益（△は益）,-86,2015
貸倒引当金の増減（△）,-7405,2015
役員賞与引当金の増減額（△は減少）,9,2015
退職給付に係る資産の増減額（△は増加）,6801,2015
退職給付に係る負債の増減額（△は減少）,-1218,2015
役員退職慰労引当金の増減額（△は減少）,-69,2015
睡眠預金払戻損失引当金の増減額（△は減少）,27,2015
ポイント引当金の増減額（△は減少）,11,2015
偶発損失引当金の増減（△）,-63,2015
資金運用収益,-85387,2015
資金調達費用,3714,2015
有価証券関係損益（△）,-2160,2015
金銭の信託の運用損益（△は益）,-395,2015
為替差損益（△は益）,46,2015
固定資産処分損益（△は益）,425,2015
商品有価証券の純増（△）減,1674,2015
貸出金の純増（△）減,-254505,2015
預金の純増減（△）,134621,2015
譲渡性預金の純増減（△）,28706,2015
借用金（劣後特約付借入金を除く）の純増減（△）,7529,2015
預け金（日銀預け金を除く）の純増（△）減,12869,2015
コールローン等の純増（△）減,-19213,2015
コールマネー等の純増減（△）,109772,2015
債券貸借取引受入担保金の純増減（△）,38161,2015
外国為替（資産）の純増（△）減,-455,2015
外国為替（負債）の純増減（△）,-12,2015
リース債権及びリース投資資産の純増（△）減,-2108,2015
資金運用による収入,84920,2015
資金調達による支出,-3882,2015
その他,-48618,2015
小計,47824,2015
法人税等の支払額,-13058,2015
営業活動によるキャッシュ・フロー,34765,2015
有価証券の取得による支出,-296575,2015
有価証券の売却による収入,140903,2015
有価証券の償還による収入,171108,2015
有形固定資産の取得による支出,-3544,2015
無形固定資産の取得による支出,-2507,2015
投資活動によるキャッシュ・フロー,9386,2015
新株予約権付社債の発行による収入,21416,2015
配当金の支払額,-4416,2015
少数株主への配当金の支払額,-10,2015
自己株式の取得による支出,-9567,2015
自己株式の売却による収入,507,2015
財務活動によるキャッシュ・フロー,7928,2015
現金及び現金同等物に係る換算差額,609,2015
現金及び現金同等物の増減額（△は減少）,52689,2015
現金及び現金同等物の期首残高,109118,2015
現金及び現金同等物の期末残高,161807,2015
